"Trip_ID","Distance_km","Avg_Speed","Traffic_Density","Num_Traffic_Lights","Num_Stops","Weather_Condition","Road_Type","Accident_Occurrence","Fuel_Consumption","Day_of_Week","Travel_Time"
80,7.6,52.5,102,2,5,"Rainy","Arterial",0,1.2,"Sunday",25.2
81,9.4,37.4,104,8,3,"Foggy","Local",0,1.9,"Tuesday",39.9
82,15.4,37.8,222,2,7,"Rainy","Highway",1,2.47,"Saturday",65
83,11.8,35,191,7,6,"Rainy","Arterial",0,1.35,"Thursday",49.9
84,17,27.8,172,2,3,"Sunny","Local",1,1.63,"Monday",60.1
85,7.4,37.8,100,7,8,"Rainy","Highway",0,1.15,"Saturday",31.9
86,12.1,31.2,198,9,7,"Storm","Local",0,1.42,"Thursday",60.1
87,19.8,43.8,127,11,4,"Storm","Local",1,1.8,"Sunday",69
88,18.5,42.6,184,3,3,"Foggy","Local",0,1.47,"Tuesday",48.1
89,18.4,58.1,250,6,3,"Storm","Highway",0,1.9,"Sunday",48.5
90,8.5,36.9,83,11,1,"Rainy","Highway",1,2.48,"Friday",39.9
91,7.8,41.3,150,3,1,"Foggy","Local",1,1.91,"Tuesday",42.9
92,15.1,27.9,135,6,4,"Foggy","Arterial",0,1.22,"Tuesday",52.5
93,10.8,55.1,129,4,4,"Storm","Local",0,2.06,"Friday",34
94,15.2,38.8,203,7,6,"Rainy","Highway",0,2.02,"Tuesday",44.2
95,10.5,50.8,218,7,5,"Sunny","Highway",0,1.48,"Thursday",41.8
96,8.6,31,154,12,7,"Sunny","Highway",0,1.63,"Monday",43.5
97,17,40.9,139,10,4,"Rainy","Highway",0,1.46,"Saturday",45.6
98,7.3,52,164,7,1,"Foggy","Highway",0,2.25,"Wednesday",30.7
99,12.5,27.2,153,5,3,"Rainy","Local",0,1.89,"Saturday",46
100,13.2,53.5,200,3,3,"Sunny","Local",1,2.21,"Wednesday",47.7
101,14.4,35.5,193,8,7,"Foggy","Local",1,1.44,"Saturday",73.6
102,10.7,37.8,178,10,6,"Sunny","Local",0,1.21,"Tuesday",47.2
103,12.8,35.9,177,12,5,"Sunny","Arterial",0,2.33,"Saturday",44.4
104,19.4,26.3,137,5,1,"Foggy","Local",0,1.01,"Wednesday",64.4
105,12.8,43.2,247,2,3,"Sunny","Local",0,1.85,"Saturday",41.1
106,18.5,48.8,92,9,1,"Storm","Highway",0,2.45,"Sunday",44.9
107,18.8,56.6,87,4,6,"Rainy","Highway",0,1.4,"Friday",37.7
108,14.5,25.9,81,10,3,"Storm","Arterial",0,2.48,"Monday",62.2
109,11.7,59.6,202,7,4,"Foggy","Highway",0,1.05,"Saturday",41.5
110,8.1,35.6,85,4,6,"Storm","Local",0,1.39,"Thursday",39.4
111,19.1,57.9,166,12,5,"Foggy","Arterial",0,1.39,"Wednesday",48.4
112,10.2,49.1,96,4,7,"Foggy","Highway",1,2.42,"Wednesday",51.4
113,6.9,40.6,239,12,2,"Foggy","Local",0,2.47,"Sunday",35.3
114,19.3,53.6,156,5,6,"Foggy","Highway",1,2.1,"Saturday",63.4
115,16.1,26.4,151,7,8,"Rainy","Highway",0,1.43,"Saturday",60.8
116,8,50.9,181,12,5,"Sunny","Local",0,1.61,"Tuesday",38.1
117,13.7,37.2,96,12,5,"Foggy","Local",0,1.3,"Thursday",53.2
118,19.4,54,150,3,4,"Rainy","Arterial",0,2.15,"Thursday",40.8
119,14.2,43.7,134,8,3,"Sunny","Highway",0,2.11,"Monday",39.5
120,11.7,34.6,203,7,4,"Sunny","Local",0,1.75,"Tuesday",38.6
121,15.1,53,98,8,2,"Foggy","Local",0,2.01,"Thursday",45
122,10.5,28.2,94,5,5,"Rainy","Arterial",1,2.13,"Saturday",50
123,10.3,54.1,221,8,4,"Rainy","Local",1,2.16,"Monday",53.9
124,9.1,34.7,234,11,4,"Storm","Local",0,1.91,"Saturday",51.1
125,11.2,51.4,112,5,5,"Rainy","Local",1,1.59,"Monday",48.5
126,19.8,58.7,129,10,4,"Rainy","Highway",0,2.01,"Tuesday",42.3
127,8.2,27.9,97,6,7,"Rainy","Arterial",0,2.3,"Sunday",43.5
128,7.3,54.9,227,12,3,"Sunny","Local",0,1.65,"Wednesday",31.8
129,8,53.1,170,12,8,"Storm","Local",0,1.18,"Saturday",47
130,15.7,38.5,121,10,1,"Storm","Arterial",0,1.93,"Sunday",49.8
131,14.7,36.5,153,10,4,"Foggy","Local",0,1.72,"Friday",54.6
132,18.5,32.2,132,4,2,"Foggy","Highway",0,2.39,"Saturday",48.3
133,15.4,44.9,142,12,5,"Foggy","Highway",0,1.36,"Wednesday",52.6
134,16.3,56.1,152,2,3,"Rainy","Local",0,2.16,"Tuesday",30.7
135,13.3,43.5,238,10,5,"Foggy","Arterial",0,2.13,"Friday",51.9
136,15.2,45.5,162,10,7,"Rainy","Arterial",0,2.01,"Friday",49.1
137,17.5,48.3,134,4,6,"Sunny","Highway",0,1.83,"Saturday",38.2
138,17,43.5,193,5,8,"Sunny","Highway",0,1.9,"Tuesday",46.5
139,19.7,42.8,97,8,5,"Storm","Highway",0,2.3,"Saturday",54.7
140,12.2,25.6,187,12,7,"Foggy","Local",0,1.74,"Thursday",62.9
141,10.4,26.7,123,10,8,"Foggy","Highway",0,2.47,"Sunday",54.1
142,11.7,57.5,171,11,4,"Storm","Highway",1,1.1,"Saturday",51.6
143,6.1,51.9,100,9,3,"Storm","Local",0,1.83,"Thursday",35.4
144,8.6,32,108,4,3,"Foggy","Arterial",0,1.28,"Monday",30
145,17.8,47.8,199,12,6,"Rainy","Local",0,1.44,"Tuesday",56.5
146,9.2,47.9,243,7,8,"Sunny","Arterial",0,2.26,"Monday",37
147,9.3,38.8,163,2,2,"Sunny","Local",0,1.31,"Friday",26
148,7.1,53.4,102,10,4,"Sunny","Local",0,1.87,"Wednesday",26.7
149,9.4,44.1,121,10,5,"Sunny","Local",0,1.59,"Monday",35.2
150,16.2,56,161,8,6,"Sunny","Highway",0,1.46,"Friday",34.6
151,17.9,44.4,141,9,2,"Storm","Arterial",1,1.71,"Monday",58.8
152,13,56.7,143,2,8,"Storm","Local",0,2.11,"Saturday",41.6
153,11.4,45.6,156,11,2,"Rainy","Highway",0,2.47,"Wednesday",42.1
154,9.5,39.8,186,9,6,"Sunny","Local",0,1.23,"Monday",37.2
155,7.6,58.2,225,3,3,"Rainy","Local",0,1.19,"Tuesday",33.6
156,11.5,49.8,89,9,3,"Rainy","Local",0,1.87,"Tuesday",32.9
157,14,39.5,178,7,5,"Foggy","Highway",0,1.21,"Tuesday",48.7
158,9,25.6,162,10,6,"Sunny","Local",0,1.3,"Saturday",48.6
159,12.2,44.8,81,3,7,"Foggy","Highway",1,1.51,"Thursday",53
160,9.1,42.2,203,8,1,"Foggy","Local",0,1.4,"Monday",36
161,13,55.8,250,8,6,"Sunny","Local",0,2.08,"Thursday",38.5
162,11,53.4,204,10,5,"Rainy","Local",1,2.04,"Monday",55.2
163,15.1,54.9,191,4,2,"Storm","Highway",0,2.19,"Monday",49.9
164,11.2,37.9,84,4,7,"Foggy","Highway",0,1.41,"Wednesday",38.4
165,11,55.6,179,6,8,"Rainy","Local",0,1.27,"Thursday",39
166,13.5,30.3,234,3,3,"Sunny","Highway",1,1.69,"Wednesday",55.1
167,16.4,34.9,230,5,3,"Foggy","Arterial",1,1.83,"Wednesday",61.9
168,9.1,48.3,210,11,4,"Rainy","Local",0,1.93,"Thursday",32.5
169,11.8,59.2,222,2,5,"Sunny","Highway",0,1.72,"Monday",28.9
170,9.7,45.4,182,11,1,"Foggy","Highway",0,1.19,"Tuesday",35.4
171,14.8,43.4,137,6,6,"Sunny","Highway",1,2.33,"Monday",50.9
172,8.6,27.1,214,11,8,"Rainy","Local",0,2.49,"Thursday",51.7
173,18.1,58.9,113,9,5,"Rainy","Local",0,2.29,"Monday",38.9
174,16.5,29.2,110,6,2,"Storm","Local",0,2.28,"Saturday",56.8
175,15.4,28.1,97,7,7,"Storm","Arterial",1,1.57,"Thursday",72.7
176,14.7,55.8,125,10,2,"Storm","Highway",0,1.93,"Thursday",42
177,11.2,42.8,88,4,1,"Storm","Arterial",0,1.78,"Thursday",29.6
178,13.4,36.8,158,2,7,"Sunny","Arterial",0,1.06,"Friday",41
179,18.2,56.3,224,10,5,"Storm","Local",0,2.11,"Sunday",54.6
180,14.1,26.1,214,3,5,"Storm","Local",1,2.26,"Saturday",72.5
181,17.8,33.3,215,2,8,"Foggy","Arterial",0,1.07,"Wednesday",59
182,10.4,49,144,9,3,"Sunny","Local",0,2.34,"Sunday",30.5
183,15.9,32.9,88,10,5,"Foggy","Highway",0,1.57,"Wednesday",52
184,9.7,36.1,178,3,8,"Rainy","Local",0,2.04,"Thursday",39.9
185,14.3,31.1,104,12,3,"Foggy","Highway",0,2.08,"Thursday",54.6
186,12.7,53.1,209,4,1,"Foggy","Arterial",0,2.02,"Monday",32.9
187,9.7,30.1,218,7,4,"Foggy","Highway",0,1.45,"Wednesday",53.6
188,13.9,53.8,119,2,8,"Sunny","Arterial",0,1.45,"Monday",27
189,18.8,36.6,227,8,2,"Storm","Local",0,1.71,"Monday",63.1
190,18.6,38.1,218,3,4,"Sunny","Highway",1,1.07,"Thursday",57.1
191,9.8,47,97,6,8,"Storm","Highway",1,1.74,"Friday",54.6
192,10.5,28.4,221,12,4,"Sunny","Highway",0,1.88,"Wednesday",49.7
193,19.8,25.8,171,11,8,"Storm","Highway",1,1.35,"Sunday",98.7
194,14.7,59.8,146,12,5,"Sunny","Local",0,2.45,"Monday",41.2
195,19.1,45.4,189,4,6,"Rainy","Highway",0,1.24,"Friday",48.7
196,12.5,52.4,172,8,7,"Rainy","Arterial",0,1.86,"Monday",39.6
197,11.7,56.2,206,3,1,"Sunny","Highway",0,1.63,"Saturday",26.2
198,15.2,51.4,118,9,7,"Storm","Local",1,1.18,"Friday",64.6
199,8.1,59.3,230,4,4,"Sunny","Local",0,1.55,"Saturday",29.6
200,14,26.5,158,5,2,"Storm","Local",1,2.5,"Monday",66.5
201,9.3,56.6,167,4,6,"Rainy","Local",0,2.2,"Tuesday",34.3
202,19.5,55.3,247,4,4,"Sunny","Highway",0,1.52,"Friday",41.1
203,14.4,52.1,240,3,7,"Foggy","Arterial",1,2.41,"Monday",60.9
204,13.2,38.2,244,5,4,"Rainy","Highway",1,2.07,"Friday",62.3
205,11.6,26.5,108,5,3,"Sunny","Arterial",1,1.74,"Monday",50.9
206,18.3,37.8,200,7,8,"Sunny","Arterial",0,2.22,"Thursday",56.7
207,11.1,34.6,232,7,6,"Rainy","Local",0,1.98,"Thursday",49.3
208,10,54.8,121,4,3,"Sunny","Arterial",0,1.54,"Thursday",26.4
209,8.4,37.7,233,10,6,"Foggy","Highway",0,1.71,"Sunday",45.4
210,8.4,35.7,123,6,8,"Foggy","Local",0,1.9,"Friday",42.5
211,12.7,51.6,87,6,1,"Storm","Highway",0,2.09,"Saturday",32.4
212,9.5,54.6,223,9,7,"Storm","Local",0,1.53,"Tuesday",46.2
213,9,41,118,6,2,"Sunny","Highway",0,1.88,"Tuesday",26.8
214,15.4,50.5,175,6,2,"Foggy","Arterial",0,1.77,"Saturday",37.2
215,6.7,28.6,144,4,6,"Storm","Local",0,1.89,"Friday",38.5
216,15.8,32.7,173,8,4,"Storm","Arterial",0,2.33,"Wednesday",58.4
217,10.9,58.4,137,2,6,"Sunny","Local",0,2.3,"Friday",27.7
218,11.7,51.3,250,3,2,"Foggy","Arterial",0,2.25,"Friday",38.1
219,17.5,53.7,135,2,3,"Foggy","Arterial",1,1.24,"Friday",50.4
220,18.9,39.6,101,12,4,"Rainy","Arterial",0,1.5,"Sunday",52.9
221,10,45.8,224,9,6,"Rainy","Local",1,2.39,"Saturday",53.8
222,19.5,53,178,2,3,"Rainy","Arterial",0,2.39,"Monday",43.7
223,16.2,56.1,221,3,1,"Storm","Arterial",0,1.95,"Tuesday",42.3
224,15.6,38.5,198,11,4,"Storm","Local",0,2.19,"Sunday",58.4
225,6.7,28.2,143,3,4,"Foggy","Local",0,1.86,"Tuesday",32.6
226,11.5,46.9,103,7,8,"Foggy","Local",0,1.06,"Monday",36.7
227,12.7,51.1,87,4,8,"Foggy","Arterial",0,1.43,"Wednesday",36.2
228,13.8,28,227,9,5,"Sunny","Local",0,1.72,"Thursday",53
229,15.8,35.5,199,12,1,"Foggy","Highway",1,1.65,"Tuesday",65.4
230,18.8,46.5,153,2,7,"Rainy","Arterial",0,2.4,"Sunday",46.8
231,14.7,51.4,165,12,7,"Sunny","Arterial",0,1.97,"Tuesday",42
232,12,57.1,96,7,3,"Storm","Arterial",0,1,"Sunday",33.6
233,13.6,41.7,216,12,8,"Foggy","Local",0,1.03,"Wednesday",53.9
234,6.8,44.8,242,9,2,"Storm","Highway",1,1.45,"Friday",50.2
235,9.7,50.8,223,2,2,"Storm","Highway",0,1.41,"Wednesday",35.3
236,11.6,55,131,5,8,"Sunny","Local",0,2.24,"Friday",34.3
237,8.8,56.8,178,9,8,"Storm","Highway",1,2.08,"Sunday",56.4
238,17.6,27,114,4,8,"Foggy","Arterial",0,2.02,"Wednesday",62.2
239,8.1,42.6,105,12,8,"Foggy","Highway",0,1.58,"Saturday",42.7
240,17.2,37.3,92,12,4,"Sunny","Highway",1,1.28,"Sunday",61.2
241,13.7,54.6,115,2,8,"Sunny","Local",0,1.32,"Thursday",29.1
242,15.3,53.2,232,7,4,"Storm","Highway",0,2.06,"Friday",54.8
243,8.4,29.1,107,4,7,"Sunny","Highway",0,1.39,"Wednesday",34.4
244,14.9,49.9,236,6,2,"Storm","Arterial",0,1.34,"Tuesday",49.3
245,10.4,33.2,123,2,5,"Sunny","Arterial",0,1.89,"Monday",36.1
246,16.1,27.6,133,7,5,"Foggy","Local",0,1.22,"Thursday",58.4
247,11.6,57.7,232,6,1,"Storm","Local",1,1.08,"Thursday",50.5
248,19.6,30.5,108,2,6,"Rainy","Local",0,1.02,"Wednesday",56.4
249,19.5,47.6,227,9,1,"Sunny","Local",0,2.21,"Sunday",44.5
250,16.2,31.1,172,10,8,"Rainy","Local",0,2.2,"Thursday",62.4
251,9.6,25.7,92,12,5,"Sunny","Arterial",0,1.02,"Monday",41.7
252,9.1,43.2,242,6,7,"Foggy","Highway",1,1.89,"Friday",55
253,14.3,28,195,6,3,"Sunny","Arterial",1,1.46,"Sunday",62.1
254,9.7,34.9,84,12,6,"Storm","Local",0,1.91,"Friday",46.2
255,13.4,39.7,135,9,8,"Sunny","Local",1,1.32,"Monday",58.9
256,17,45.6,156,5,1,"Storm","Arterial",0,2.42,"Thursday",44.9
257,8.4,53.2,171,5,3,"Rainy","Arterial",1,1.16,"Tuesday",41.9
258,11.7,32.1,151,5,3,"Storm","Arterial",0,1.18,"Wednesday",47
259,12.6,41.1,205,12,3,"Storm","Arterial",1,1.21,"Monday",63
260,18.2,40.7,245,6,4,"Rainy","Arterial",0,1.44,"Friday",54.1
261,19,50.7,231,5,1,"Storm","Local",0,1.9,"Sunday",50.7
262,18.3,50,154,7,6,"Sunny","Local",0,1.31,"Tuesday",43.7
263,15.4,54.1,166,11,8,"Foggy","Arterial",0,1.68,"Tuesday",49.3
264,19.3,56,173,5,7,"Storm","Local",0,1.68,"Thursday",48.3
265,13.2,58.3,127,12,7,"Foggy","Highway",0,1.57,"Thursday",45
266,14.1,44.3,94,2,5,"Foggy","Highway",0,2.48,"Tuesday",36.4
267,10.7,43.3,144,12,3,"Sunny","Local",1,1.02,"Tuesday",45.5
268,10.9,31,89,9,7,"Foggy","Arterial",0,2.3,"Thursday",47.6
269,6.3,41.8,165,6,8,"Storm","Highway",1,1.14,"Friday",49.4
270,13,33.9,121,6,5,"Sunny","Local",0,1.27,"Saturday",37.5
271,18.2,26.4,179,11,4,"Rainy","Arterial",0,1.67,"Wednesday",67.5
272,6.1,47.2,248,4,1,"Sunny","Local",0,2.09,"Thursday",26.8
273,7,43.9,104,12,5,"Rainy","Highway",0,1.28,"Tuesday",32.4
274,8.3,29.9,173,2,4,"Sunny","Arterial",0,1.21,"Wednesday",36
275,16.8,34.9,116,3,6,"Storm","Arterial",0,1.32,"Monday",56.3
276,16.3,45.4,207,4,1,"Foggy","Local",0,1.25,"Tuesday",46.1
277,19.6,30.8,106,5,7,"Rainy","Arterial",0,2.28,"Friday",63.1
278,12.5,28.4,114,11,4,"Rainy","Local",1,2.11,"Thursday",65.7
279,7,40,241,5,1,"Storm","Local",0,1.85,"Wednesday",40.9
280,15.1,37.5,166,5,8,"Rainy","Local",1,2.28,"Sunday",57.7
281,16.6,54.6,155,11,1,"Foggy","Arterial",0,1.22,"Sunday",41.6
282,7.9,34.1,114,2,7,"Foggy","Local",1,1.57,"Sunday",50.2
283,11.6,25.8,236,10,4,"Storm","Arterial",0,1.48,"Tuesday",64.4
284,9.1,55.2,150,2,3,"Storm","Local",1,1.04,"Sunday",46.8
285,6.8,36.7,189,6,1,"Rainy","Local",0,1.58,"Friday",31.9
286,11.5,47.1,113,5,2,"Foggy","Highway",0,2.06,"Monday",32.3
287,6.9,44.1,204,2,5,"Rainy","Highway",1,1.37,"Sunday",49.8
288,9.2,38.2,126,8,8,"Foggy","Arterial",1,1.97,"Sunday",58.3
289,6.8,31.5,208,10,1,"Sunny","Arterial",1,1.25,"Monday",46.1
290,15.4,40,89,12,4,"Foggy","Local",0,2.16,"Monday",47.1
291,10.2,47.1,248,6,6,"Sunny","Arterial",0,1.72,"Wednesday",36.8
292,7.4,43.2,248,10,2,"Sunny","Arterial",1,1.09,"Tuesday",44.6
293,7,48.1,118,7,7,"Rainy","Arterial",1,2.16,"Monday",45.8
294,18.3,50.5,187,10,8,"Sunny","Arterial",0,2.32,"Tuesday",47
295,16.6,42,213,4,2,"Sunny","Arterial",0,1.88,"Sunday",40.2
296,17.4,38.5,239,10,2,"Rainy","Arterial",0,1.91,"Sunday",60.3
297,19.7,25.2,182,2,3,"Storm","Local",0,1.63,"Thursday",72.3
298,7.5,25.1,159,4,2,"Sunny","Local",0,1.07,"Monday",23.7
299,7.4,59.8,169,12,5,"Foggy","Highway",1,1.98,"Thursday",51.5
300,17.2,28.8,223,7,8,"Storm","Highway",0,1.75,"Friday",75.9
301,17,39.7,81,3,1,"Rainy","Highway",1,2.18,"Wednesday",50.4
302,6.1,50.1,241,2,1,"Rainy","Local",0,1.82,"Tuesday",26.4
303,16.9,51,157,11,7,"Foggy","Highway",0,1.67,"Saturday",51
304,16.2,55.5,237,6,8,"Rainy","Local",0,2.26,"Friday",53.6
305,14.8,46.3,235,2,2,"Sunny","Highway",0,2.01,"Sunday",36.8
306,12.7,51.5,109,7,8,"Foggy","Highway",0,1.08,"Friday",41.5
307,8.2,54.7,246,12,3,"Foggy","Highway",0,1.19,"Sunday",45
308,6.1,46.4,149,7,8,"Sunny","Highway",0,2.24,"Wednesday",29.1
309,12.3,52.8,194,9,4,"Storm","Arterial",0,1.6,"Tuesday",42.6
310,12.9,25.8,127,2,7,"Storm","Arterial",1,1.76,"Monday",70.6
311,11.5,39.6,217,7,2,"Sunny","Arterial",0,1.51,"Wednesday",37.1
312,12.5,55.6,107,2,6,"Foggy","Arterial",1,1.94,"Tuesday",47.9
313,16,47.7,146,7,6,"Storm","Highway",0,1.87,"Monday",57.5
314,6.8,57.4,208,7,4,"Storm","Local",1,1.33,"Monday",48.3
315,11,31,123,6,4,"Sunny","Local",0,1.96,"Thursday",36.1
316,17.2,36.1,240,11,1,"Sunny","Local",0,1.54,"Wednesday",53.6
317,17.7,53.1,243,10,3,"Storm","Arterial",1,1.68,"Tuesday",68.8
318,9.3,59.6,194,11,7,"Sunny","Local",0,1.6,"Wednesday",29.2
319,11,36.3,220,4,8,"Foggy","Arterial",0,1.33,"Thursday",48.4
320,18,25,193,10,3,"Rainy","Highway",0,1.37,"Sunday",68.2
321,18,59.7,158,6,7,"Sunny","Highway",0,1.26,"Tuesday",43.2
322,10.1,30.2,156,8,4,"Sunny","Arterial",1,1.65,"Thursday",51.6
323,8.1,26.7,173,3,2,"Foggy","Arterial",1,1.91,"Saturday",47.3
324,15.9,45.9,198,7,2,"Sunny","Arterial",0,1.61,"Monday",38.9
325,7.5,36.2,225,11,1,"Sunny","Highway",0,2.37,"Friday",33.1
326,6.5,43.5,187,8,8,"Storm","Local",0,1.42,"Wednesday",40.1
327,20,52.8,182,10,2,"Sunny","Highway",0,1.32,"Saturday",40.4
328,6.5,27.4,105,4,7,"Storm","Local",0,1.83,"Wednesday",36
329,10.7,49.3,243,10,1,"Storm","Highway",0,1.53,"Thursday",48.4
330,18.8,58.2,115,7,3,"Storm","Highway",0,2.41,"Saturday",40.4
331,14.6,34.7,135,7,2,"Sunny","Local",0,1.94,"Monday",37.2
332,10,33.7,136,9,3,"Storm","Arterial",0,1.66,"Friday",46.7
333,16.3,30.6,82,5,6,"Sunny","Highway",0,1.43,"Saturday",49.3
334,17.7,27.5,90,7,1,"Rainy","Local",0,1.05,"Wednesday",55.6
335,10.4,44.5,130,2,1,"Storm","Local",1,1.82,"Saturday",46.4
336,12.9,42.1,237,5,1,"Foggy","Arterial",0,1.48,"Monday",45.8
